Block	Strain	Genotype	X	Y	Latence	NbSS	Taille
B4est_1_Bloc_3_28x3	P72	ALL-174	113	10	8.27573368	22.12796847	2.95645026
B4est_1_Bloc_3_28x3	P72	NOH-10	114	10	8.36122933	43.26975836	4.66186413
B4est_1_Bloc_3_28x3	P72	CTR-09	115	10	8.86122933	20.88284428	3.48551067
B4est_1_Bloc_3_28x3	P72	NOH-25	116	10	NA	-17.26295642	NA
B4est_1_Bloc_3_28x3	P72	N-36	117	10	9.00627287	16.9787078	2.54363147
B4est_1_Bloc_3_28x3	P72	SN-12	118	10	10.03222061	18.69512803	2.78009679
B4est_1_Bloc_3_28x3	P72	NL-1210	105	11	8.9337511	22.4844486	3.8382176
B4est_1_Bloc_3_28x3	P72	AST-008	106	11	9.4337511	17.94426303	3.3091572
B4est_1_Bloc_3_28x3	P72	ALL-019	107	11	9.53222062	21.12049769	3.78009679
B4est_1_Bloc_3_28x3	P72	BDX-08	108	11	9.80168142	9.2083396	2.42738986
B4est_1_Bloc_3_28x3	P72	N-63	111	11	8.94672497	37.33117712	3.66186413
B4est_1_Bloc_3_28x3	P72	DRA-38	112	11	9.11771626	2.28123995	2.78009679
B4est_1_Bloc_3_28x3	P72	SN-25	115	11	9.15134456	9.31568472	3.20101233
B4est_1_Bloc_3_28x3	P72	1-J07	116	11	9.84825546	13.63772008	2.8382176
B4est_1_Bloc_3_28x3	P72	STR-20	117	11	9.20321191	19.63370927	3.48551067
B4est_1_Bloc_3_28x3	P72	SN-11	118	11	10.143664	11.66414322	3.42738986
B4est_1_Bloc_3_28x3	P72	KUH-34	105	12	9.4337511	13.36562189	4.19092454
B4est_1_Bloc_3_28x3	P72	STR-21	106	12	8.76327676	16.48761828	2.26699717
B4est_1_Bloc_3_28x3	P72	KUH-52	107	12	9.11771626	31.79099155	3.8382176
B4est_1_Bloc_3_28x3	P72	N-50	108	12	10.70321191	7.67216484	1.25103639
B4est_1_Bloc_3_28x3	P72	N-8	109	12	9.74484218	5.66068325	3.11991279
B4est_1_Bloc_3_28x3	P72	N-43	110	12	8.60474239	36.22784281	3.60374333
B4est_1_Bloc_3_28x3	P72	1-J19	111	12	9.643664	4.13543925	3.01656212
B4est_1_Bloc_3_28x3	P72	N-29	112	12	8.55816836	18.91728904	1.72197599
B4est_1_Bloc_3_28x3	P72	N-15	113	12	10.87482163	-2.48511744	1.70597857
B4est_1_Bloc_3_28x3	P72	1-J15	114	12	9.11771626	24.63772008	3.3091572
B4est_1_Bloc_3_28x3	P72	DRA-24	115	12	9.50627287	16.49593019	3.8382176
B4est_1_Bloc_3_28x3	P72	SPM-50	116	12	8.36122933	19.55333813	4.13280373
B4est_1_Bloc_3_28x3	P72	ALL-023	117	12	9.22633123	32.2574955	3.10984445
B4est_1_Bloc_3_28x3	P72	N-57	118	12	8.94672497	21.21235041	4.66186413
B4est_1_Bloc_4_28x3	P72	N-35	150	1	8.4337511	25.72210201	3.8382176
B4est_1_Bloc_4_28x3	P72	NOH-13	151	1	8.09176852	24.42704065	3.54363148
B4est_1_Bloc_4_28x3	P72	N-1	152	1	8.3102781	23.93287869	4.44967803
B4est_1_Bloc_4_28x3	P72	6-A18	153	1	11.18157758	-8.14412972	1.5022345
B4est_1_Bloc_4_28x3	P72	SSN-01	154	1	8.24104782	19.79099155	4.90766363
B4est_1_Bloc_4_28x3	P72	BDX-09	155	1	9.35725052	13.21581038	1.31354217
B4est_1_Bloc_4_28x3	P72	71077-308	156	1	9.61771626	4.87136269	2.78009679
B4est_1_Bloc_4_28x3	P72	KUH-56	157	1	9.04519449	6.75253598	4.25103639
B4est_1_Bloc_4_28x3	P72	ERS-18	158	1	9.49103003	14.38178648	1.9106436
B4est_1_Bloc_4_28x3	P72	92510-1	159	1	9.96652193	10.56549192	3.17356331
B4est_1_Bloc_4_28x3	P72	KUH-39	160	1	9.30850451	19.94839519	3.82085638
B4est_1_Bloc_4_28x3	P72	OLO-10	161	1	9.34210468	16.25147818	2.87897718
B4est_1_Bloc_4_28x3	P72	VDL-34	162	1	8.86805242	27.73024498	3.40803758
B4est_1_Bloc_4_28x3	P72	NOH-15	163	1	8.68408726	27.15962546	3.40803759
B4est_1_Bloc_4_28x3	P72	SN-16	150	2	10.08687801	-0.507408429999998	2.78607988
B4est_1_Bloc_4_28x3	P72	SN-05	151	2	10.05201758	3.53851793	1.99720984
B4est_1_Bloc_4_28x3	P72	ALL-006	152	2	9.83237617	4.99086158	2.60910145
B4est_1_Bloc_4_28x3	P72	6-A09	153	2	9.19023803	22.09753451	3.81537019
B4est_1_Bloc_4_28x3	P72	SPM-04	156	2	NA	5.83691791	NA
B4est_1_Bloc_4_28x3	P72	1-A25	157	2	9.60474239	26.53438577	3.48551067
B4est_1_Bloc_4_28x3	P72	PG-10	158	2	7.89482949	40.9942002	3.54363148
B4est_1_Bloc_4_28x3	P72	SPM-54	159	2	8.95969884	1.61074608	3.89832945
B4est_1_Bloc_4_28x3	P72	SSN-02	160	2	10.13069013	21.55333814	2.7800968
B4est_1_Bloc_4_28x3	P72	N-45	161	2	9.37420319	19.58778291	3.3091572
B4est_1_Bloc_4_28x3	P72	N-56	162	2	9.54519448	15.25426596	3.42738986
B4est_1_Bloc_4_28x3	P72	KUH-25	163	2	8.69023804	35.77549915	4.3091572
B4est_1_Bloc_4_28x3	P72	6-J02	152	3	9.54519448	5.44945299	4.30915719
B4est_1_Bloc_4_28x3	P72	SN-07	153	3	10.493299	6.34775492	2.19092454
B4est_1_Bloc_4_28x3	P72	1-J16	154	3	9.3742032	20.24679518	3.07468292
B4est_1_Bloc_4_28x3	P72	DRA-29	155	3	10.83965878	18.29262429	2.81592943
B4est_1_Bloc_4_28x3	P72	RAM-177	156	3	10.9638909	6.09669338	2.29610576
B4est_1_Bloc_4_28x3	P72	DRA-13	157	3	11.31140993	2.61074609	1.57903293
B4est_1_Bloc_4_28x3	P72	RHN-38	158	3	9.28870755	30.39605585	2.42738986
